"tconst","start_year","average_rating","num_votes","primary_title","priority","title_type","genres","directors"
"tt14866710",2022,4.8,2770,"Blasted",False,"movie","Action - Comedy - Sci-Fi","Martin Sofiedal"
"tt13822738",2022,5.8,9626,"The Takedown",False,"movie","Action - Comedy - Crime","Louis Leterrier"
"tt14668630",2022,6.1,18011,"Lyle, Lyle, Crocodile",False,"movie","Adventure - Comedy - Family","Josh Gordon - Will Speck"
"tt17076046",2022,6.8,48586,"Weird: The Al Yankovic Story",False,"movie","Action - Biography - Comedy","Eric Appel"
"tt9731598",2022,6.3,39390,"Bros",False,"movie","Comedy - Romance","Nicholas Stoller"
"tt5533370",2022,5.5,17362,"Lamborghini: The Man Behind the Legend",True,"movie","Biography - Drama - Sport","Bobby Moresco"
"tt21237030",2022,5.1,10788,"Carter",False,"movie","Action - Thriller","Jung Byung-gil"
"tt10999120",2022,6.6,59509,"Spirited",True,"movie","Comedy - Family - Fantasy","Sean Anders"
"tt11000902",2022,7.7,47406,"Our Flag Means Death",False,"tvSeries","Action - Adventure - Biography","Taika Waititi - Bertie Ellwood - Nacho Vigalondo - David Jenkins - Amber Templemore - Andrew DeYoung - Fernando Frias"
"tt15471560",2022,6.4,6426,"Smoking Causes Coughing",True,"movie","Comedy - Horror - Sci-Fi","Quentin Dupieux"
"tt20873160",2022,7.9,1093,"Aurora's Sunrise",False,"movie","Animation - Documentary - War","Inna Sahakyan"
"tt13429870",2023,7.6,24590,"Robot Dreams",False,"movie","Animation - Comedy - Drama","Pablo Berger"
"tt13655120",2023,5.3,14720,"I.S.S.",True,"movie","Sci-Fi - Thriller","Gabriela Cowperthwaite"
"tt13923084",2023,6.4,40197,"Boy Kills World",True,"movie","Action - Adventure - Comedy","Moritz Mohr"
"tt14030816",2023,5.4,15529,"Baghead",False,"movie","Horror - Mystery - Thriller","Alberto Corredor"
"tt14099796",2023,6.2,1808,"The Goldfinger",False,"movie","Action - Crime - Drama","Felix Chong"
"tt14308636",2023,7.1,16929,"Bank of Dave",False,"movie","Biography - Comedy - Drama","Chris Foggin"
"tt14379088",2023,6.1,3850,"Shin Kamen Rider",True,"movie","Action - Adventure - Drama","Hideaki Anno"
"tt14509110",2023,6.2,78999,"No One Will Save You",True,"movie","Horror - Mystery - Sci-Fi","Brian Duffield"
"tt11358390",2023,6.4,119384,"Renfield",False,"movie","Action - Comedy - Fantasy","Chris McKay"
"tt14998742",2023,5.6,140284,"Rebel Moon - Part One: A Child of Fire",True,"movie","Action - Adventure - Drama","Zack Snyder"
"tt15320362",2023,7.5,53052,"All the Light We Cannot See",True,"tvMiniSeries","Drama - History - War","Shawn Levy"
"tt15352516",2023,6.4,4819,"Merry Little Batman",False,"movie","Animation - Comedy - Family","Mike Roth"
"tt15799866",2023,5.3,27973,"Silent Night",False,"movie","Action - Crime - Drama","John Woo"
"tt16257866",2023,4.4,21,"Mob Humor",False,"movie","","Antoine Fountain - Dennyann Giambrone - Devin 'Don Cito' Meadows"
"tt16277242",2023,7.8,173228,"Society of the Snow",False,"movie","Adventure - Biography - Drama","J.A. Bayona"
